Item	Item	Country	State	Name	Latitude	Longitude	DistanceFromSource	IWDay	IWHr	IWMin	TTHr	TTMin	MWDay	MWHr	MMWMin	MaxWaterHeight	MaxInundationDistance	Type	Per	1st	Mtn	z1	z2
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.50000 	95.24600 	252 									20.30 		5 	
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.48900 	95.23500 	251 									20.40 		5 	
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.54300 	95.24200 	257 									21.10 		5 	
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.50100 	95.23300 	253 									21.20 		5 	
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.47400 	95.25500 	249 									23.40 		5 	
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.49600 	95.23500 	252 									27.70 		5 	
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.49400 	95.23500 	252 									29.00 		5 	
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.47400 	95.24400 	249 									29.00 		5 	
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.61000 	95.39700 	260 									11.20 		5 	
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.55600 	95.23600 	258 									12.30 		5 	
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.55700 	95.28400 	257 									12.50 		5 	
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.56400 	95.23500 	259 									12.60 		5 	
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.38200 	95.25600 	239 									12.80 		5 	
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.63300 	95.40000 	263 									13.30 		5 	
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.55300 	95.23500 	258 									13.70 		5 	
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.39700 	95.25300 	241 									14.20 		5 	
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.63400 	95.40100 	263 									14.20 		5 	
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.44300 	95.24100 	246 									15.50 		5 	
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.49200 	95.23100 	252 									15.50 		5 	
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.44300 	95.24100 	246 									16.00 		5 	
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.42900 	95.24300 	245 									16.50 		5 	
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.25100 	95.25300 	225 									16.70 		5 	
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.44200 	95.24000 	246 									16.90 		5 	
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.44100 	95.23900 	246 									17.10 		5 	
* 		INDONESIA 	ACEH 	ACEH, SUMATRA 	5.49000 	95.26400 	251 									8.90 		5 	
